id	ten	gia	phanloai	thuonghieu	xuatxu	xuatxuthuonghieu	sku	mota
38245956	Giấy ăn gấu trúc siêu dai, an toàn khi sử dụng, giấy ăn sợi tre an toàn không chất tẩy trắng (Thùng 30 gói)	115200	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Phụ kiện nhà bếp/Khăn giấy ăn	OEM	Trung Quốc	Trung Quốc	8851708894260	"Giấy sợi trúc mềm, mịn, thấm nước tốt
Giấy dai, thấm nước không bị nát
Được làm từ bột trúc không có chất tẩy trắng nên an toàn khi sử dụng
Độ dai tự nhiên, có thể dùng thay khăn giấy ướt
Gói đóng 1 thùng 30 gói, 1 gói 300 tờ nên sử dụng được rất lâuGiấy ăn gấu trúc sợi tre an toàn không chất tẩy trắng (Thùng 30 gói) Giấy sợi trúc mềm, mịn, thấm nước tốtGiấy dai, thấm nước không bị nátĐược làm từ bột trúc không có chất tẩy trắng nên an toàn khi sử dụngĐộ dai tự nhiên, có thể dùng thay khăn giấy ướtGói đóng 1 thùng 30 gói, 1 gói 300 tờ (9x12 cm) nên sử dụng được rất lâuĐộ dai tự nhiên thấm nước không rách nát như giấy bình thường. An toàn cho sức khỏe của bạnGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
22372768	Kệ Sách Đa Tầng Để Sàn	374000	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Tủ, kệ sách	IGEA	Việt Nam	Việt Nam	7029507135353	"
Bạn đang cần tìm sản phẩm kệ sách cho phòng ngủ cá nhân, kệ giá để đồ, kệ trưng bày sản phẩm tại cửa hàng, kệ tài liệu tại văn phòng làm việc.
Bạn đang cần tìm mẫu kệ sách, kệ để đồ có thiết kế hiện đại tinh tế không chỉ là kệ sách còn là kệ trang trí.
Bạn đang cần tìm mẫu kệ sách có kết cấu thông minh tiết kiệm diện tích dễ dàng di chuyển khi có nhu cầu.
Bạn cần sản phẩm có chất lượng cao nhưng chi phí phải hợp lý không lãng phí.

     Chúng tôi xin giới thiệu mẫu kệ sách để sàn tiện dụng Hot nhất năm 2019

      Thông tin sản phẩm:

Kích thước: Dài 74cm x sâu 20cm x cao 150cm
Chất liệu: Gỗ MDF nhập khẩu phủ melamin chống xước chống nước dễ dàng vệ sinh.
Màu sắc: Trắng - Vân gỗ sồi
Công năng: Sử dụng làm giá sách tại phòng đọc, phòng học, phòng làm việc, văn phòng làm việc. Làm kệ để đồ, kệ trưng sản phẩm, kệ trang trí tại cửa hà
Cấu tạo: Lắp ráp 


(Thiết kệ hiện đại trẻ trung tiện dụng)


(Công năng đa dạng thông minh)

(Kích thước hợp lý)
Sản phẩm có đầy đủ phụ kiện lắp ráp và hướng dẫn chi tiết. Khi nhận hàng quý khách chỉ cần tuavit là có thể lắp ráp được ngay
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
1726599	Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML) - Xanh Đậm	323000	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	Trung Quốc	Hàn Quốc	3552343680182	"Chất liệu thép không gỉ, bền chắc, chịu nhiệt tốt
Giữ nhiệt độ nóng/lạnh trong thời gian dài
Thiết kế nhỏ gọn, xinh xắn, tiện lợi
Dùng để đựng thức uống nóng lạnh





Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) - Xanh Đậm thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.
Bình giữ nhiệt mang tính ứng dụng cao, có thể mang theo khi đi dã ngoại ngoài trời, đi picnic, leo núi, vừa có thể mang theo đến trường học, văn phòng,
Phần nắp bình có thể tháo lắp các bộ phận nên dễ dàng chùi rửa vệ sinh.
Nắp được sản xuất từ nhựa PP, an toàn cho sức khỏe. Phần lọc tiện dụng có thể giúp người dùng khi uống không bị lợn cợn.
Sản phẩm được gia công từ chất liệu thép không gỉ với độ bền cao, chịu nhiệt tốt, trọng lượng nhẹ, không gây phản ứng hóa học khi tiếp xúc với nhiệt độ, giúp bảo vệ sức khỏe người dùng.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
11488920	Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml)	298000	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	Trung Quốc	Hàn Quốc	6235877269401	"Chất liệu thép không gỉ 304
Nắp có quai cầm, tiện lợi dễ mang theo
Nắp 3 lớp cách nhiệt và khả năng giữ nhiệt vượt trội
Miệng bình rộng có thể cho đá viên vào, dễ dàng rửa sạchGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
66621525	Bình Giữ Nhiệt Lock&Lock Two-Tone Clip Tumbler LHC4151 540ml	229000	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	Trung Quốc	Hàn Quốc	4346411826959	"Nắp dạng kẹp (clip) dễ dàng đóng mở
Cấu trúc thân bình chống ngưng tụ nước
Miệng bình rộng dễ vệ sinh 
Đế silicone chống trượt
Màu sắc hiện đại, hộp đựng đẹp mắt



















 

Bình Giữ Nhiệt Lock&Lock Two-tone Clip Tumbler mang đến cho bạn cảm giác thoải mái, vui vẻ khi có thể vừa lái xe vừa uống trà hoặc cà phê nóng trên đường đến công sở trong buổi sáng bận rộn.
Thiết kế phần dưới của thân bình nhỏ, phần trên gợn sóng tạo cảm giác vừa tay, khó bị vuột khi cầm lên uống nước và dễ dàng đặt vào giá đỡ/hộc đựng chai nước bên trong ô tô.
Khi có Lock&Lock Two-tone Clip Tumbler bên cạnh, bạn có thể thoải mái thưởng thức thức uống ở bất cứ nơi đâu, kể cả khi ngồi trước bàn học, bàn làm việc cứng nhắc hoặc khi đi ra ngoài leo núi, tập gym, với hiệu quả sử dụng tối ưu.
Nắp dạng clip giúp bạn có thể đóng mở dễ dàng chỉ bằng một tay, vô cùng tiện lợi để uống nước trong khi đang lái xe. Gioăng silicone bên trong nắp có thể tháo rời, dễ dàng làm sạch.
Tumbler được sản xuất từ thép không rỉ 304, bạn có thể an tâm khi sử dụng.
Bình giữ nhiệt của Lock&Lock sử dụng thành bình 2 lớp có khoảng chân không ở giữa, ngăn chặn hiện tượng ngưng tụ nước trên bề mặt bình do chênh lệch nhiệt độ khi đựng nước đá lạnh, các không gian như mặt bàn, hộc đựng bình nước trên ô tô sẽ hoàn toàn khô ráo, sạch sẽ.
Bên cạnh đó, lớp mạ đồng đặc biệt ở bên trong thành bình giúp tăng khả năng giữ nóng/giữ lạnh, cho bạn sử dụng thoải mái suốt 4 mùa trong năm.
Màu sắc nổi bật với 2 tone màu mang đến cảm giác hiện đại. Hộp đựng sang trọng, đẹp mắt, thích hợp khi dùng làm quà tặng.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
3258989	Chiếu ngủ văn phòng	29000	Nhà Cửa - Đời Sống/Đồ dùng phòng ngủ/Chiếu	OEM	Việt Nam	-1	1045985192974	"Chất liệu nhựa 2 lớp: lớp mút và lớp bạc êm ái
Gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng
Xếp gọn và vệ sinh dễ dàng
Cho giấc ngủ trưa ngon, không nóng bứcĐiểm nổi bật:
- Chiếu ngủ văn phòng được thiết kế bằng chất liệu nhựa chuyên dụng 2 lớp, bên dưới là lớp mút êm ái, bên trên là lớp bạc cách nhiệt tạo cảm giác thoải mái không nóng bức cho những buổi trưa nghỉ ngơi thoải mái.
- Chiếu được thiết kế kiểu dáng đơn giản nhưng đẹp mắt với phần viền may tinh tế tạo điểm nhấn phù hợp sử dụng với mọi đối tượng sinh viên nghỉ trưa, nhân viên văn phòng hay các khu vực phòng trọ sinh hoạt nhỏ.
- Thiết kế siêu nhỏ gọn, thuận tiện cho xếp nhỏ, tiết kiệm diện tích sử dụng phù hợp với không gian văn phòng, học sinh, sinh viên
- Chiếu giúp bạn có giấc ngủ ngon, êm ái, không nóng bức mang lại những giây phút nghỉ ngơi tuyệt vời lấy năng lượng cho những giờ làm việc, học tập
- Phù hợp đi du lịch, dễ dàng lau chùi không lo bám bụi bẩn
Thông tin sản phẩm:
- Tên sản phẩm: Chiếu ngủ văn phòng
- Chất liệu: nhựa chuyên dụng Low – Density Polyethylen, mặt trên là lớp cách nhiệt, mặt dưới là lớp mút mỏng.
- Xuất xứ: Việt Nam.
- Màu sắc: lớp trên màu bạc, lớp dưới màu trắng xốp.
 
- Kích thước: 180 x 100 (cm)
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
2153235	Bình Giữ Nhiệt Lock&Lock Feather Light LHC4131BKR (450ml)	219000	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	Trung Quốc	Hàn Quốc	6747317448906	"Thiết kế thon gọn, bắt mắt
Bình có giá lọc trà tiện ích
Chất liệu cao cấp, an toàn 
Dung tích: 450ml

Bình Giữ Nhiệt Lock&Lock Feather Light LHC4131BKB thiết kế thân thẳng, kiểu dáng thon gọn và màu sắc bắt mắt, dễ dàng đóng mở, tiện lợi cho bạn mang theo đến văn phòng, trường học hay đi dã ngoại. 
Thiết kế thông minh, đảm bảo vệ sinh Nắp đậy kín giúp tăng hiệu quả giữ nhiệt và ngăn ngừa bụi bẩn, vi khuẩn xâm nhập. 
Bình có giá lọc trà tiện ích, chất liệu cao cấp, an toàn.
Bình giữ nhiệt được làm bằng thép không gỉ và nhựa PP bền đẹp, không chứa thành phần độc hại, đảm bảo an toàn cho sức khỏe.
Chất liệu cao cấp chịu nhiệt và giữ nhiệt tốt, không bám màu, bám mùi và dễ dàng vệ sinh sau khi sử dụng. 
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
55786215	Ghế trẻ em thông minh OKyou NGHS FF1H - Dành cho trẻ ngồi học bàn người lớn	1315000	Nhà Cửa - Đời Sống/Nội thất/Nội thất trẻ em/Ghế trẻ em	OKyou	Việt Nam	Việt Nam	8159533924726	"Ghế trẻ em thông minh OKyou NGHS FF1H- là dòng sản phẩm mới dành cho các trẻ mẫu giáo,học sinh còn nhỏ nhưng muốn ngồi bàn có kích thước độ cao của người lớn.
Ghế có chức năng ngồi nghiêng về phía trước để bảo vệ cột sống và lưu thông máu tốt hơn (Không bị tê chân khi ngồi lâu).
Ghế  có thể điều chỉnh vị trí ngồi như chiếc ghế truyền thống và có đệm gác chân điều chỉnh được độ cao phù hợp với độ cao chân của trẻ.
Ghế giúp bé ngồi học thỏai mái, chống gù, chống cận, đảm bảo sức khỏe cho bé
Thích hợp cho Phụ huynh muốn con mình còn nhỏ nhưng vẫn ngồi được bàn của người lớn có sẵn.Ghế trẻ em thông minh OKyou NGHS  FF1H -  là dòng sản phẩm mới dành cho các trẻ mẫu giáo,học sinh còn nhỏ nhưng muốn ngồi bàn có kích thước độ cao của người lớn. Ngoài chức năng ngồi nghiêng về phía trước để bảo vệ cột sống và lưu thông máu tốt hơn (Không bị tê chân khi ngồi lâu), học sinh có thể điều chỉnh vị thế ngồi như chiếc ghế truyền thống và có đệm gác chân điều chỉnh được độ cao phù hợp với độ cao chân của trẻ.
 

 
THÔNG SỐ KỸ THUẬT:
1) Kích thước phủ bì Ghế: 500 ( có đệm chân) x400x780-850 (mm) - Dài x Rộng x Cao
2) Chiều cao mặt ghế tăng từ: 480 mm đến 550 mm- Độ nghiêng hiệu chỉnh được từ 0 đến 22 Độ
3) Dựa lưng hiệu chỉnh trược được về phía trước hoặc phía sau.
4) Gác chân hiệu chỉnh được độ cao và thiết kế sẵn có thể hiệu chỉnh lùi về sau hoặc tháo rời khi trẻ lớn lên.
5) Khung ghế: Kim loại, được phủ một lớp sơn tĩnh điện bền
6) Đệm ngồi : Da PU và Mút dày 7 cm giảm chấn tốt cột sống cho trẻ năng động.
7) Dựa lưng : Da PU và Mút dày (3 – 7) cm
8) Kích thước thùng cartone Ghế (46 X 41 X 32) cm
9) Trọng lượng thùng hàng : +11 Kg (Max)
Bảo hành khung là 02 năm, linh kiện khác là 01 năm
 
***Đặc tính Ghế: Chiều cao Ghế điều chỉnh tăng giảm được từ : 480 mm đến 550 mm - Độ nghiêng mặt ghế hiệu chỉnh được từ : 0 Độ đến 22Độ -Dựa lưng có thể tùy chỉnh trược về phía trước hoặc lùi về phía sau phù hợp người ngồi – Đệm Gác chân thiết kế rất chắc chắn,tăng giảm được độcao-Lắp ráp theo modun nên dễ dàng lắp thêm hay thay linh kiện.
 

 
Hầu hết thời gian học sinh dành cho một vị trí ngồi. Đầu tiên là ở trường, sau đó là ở nhà làm bài tập,lướt web,xem ̃y nhớ rằng tư thế không đúng khi ngồi, là nguyên nhân chính dẫn đến các bệnh về cột sống.
Nhất thiết phải dạy trẻ biết ngồi đúng khi học bài. Chiều cao bàn, ghế cần phù hợp với chiều cao trẻ. Nếu như trẻ ngồi học,vẽ lâu ở bàn cao quá thì nó phải nâng vai mới đặt được tay lên bàn,còn nếu như bàn quá thấp thì vai, đầu và lưng trẻ buộc phải co gập khi ngồi, dễ dẫn tới bệnh gù lưng,cong vẹo cột sống. Do vậy, phải điều chỉnh sao cho khoảng cách giữa chiều cao bàn và mặt ghế ngồi là phù hợp nhất đối với trẻ.
 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
54051410	Bộ Nồi Anod Sunhouse SHG2703GA	498900	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ nấu ăn/Bộ nồi	Sunhouse	Việt Nam	Việt Nam	2999140128379	"Thân nồi được làm từ chất liệu Anod cao cấp, không biến dạng khi va đập
Vung kính cường lực siêu bền
Tay cầm bọc nhựa cách nhiệt, di chuyển an toàn
An toàn cho sức khỏe, không làm biến đổi thành phần chất dinh dưỡng của thực phẩm
Chống dính và chống bám bẩn, dễ dàng rửa sạch sau khi sử dụng
Công nghệ ANODIZED (điện phân các anod)  là quá trình làm oxy hóa bề mặt của những tấm nhôm tạo thành một lớp vỏ bọc cứng thay cho lớp nhôm thông thường - kết quả cho ra một liên kết nhôm cực mạnh gọi là nhôm Anod. Nhôm Anod có thể cứng gần bằng kim cương và được ứng dụng rất nhiều trong ngành công nghiệp sản xuất ô tô, máy bay, vi tính…
Ứng dụng công nghệ đó – SUNHOUSE cho ra đời bộ nồi Anod với độ bền cứng lâu dài cùng thiết kế tinh tế, sang trọng, là sự lựa chọn tối ưu cho mọi căn bếp gia đình.Thiết kế tinh tế sang trọng, phù hợp với không gian bếp hiện đại
Kiểu dáng hiện đại, kết cấu bền chắc: Sản phẩm được làm từ hợp kim nhôm Anod cứng bằng công nghệ tiên tiến giúp sản phẩm có độ cứng và bền vững cao, chống ăn mòn, chịu được nhiệt độ cao cũng như khả năng chống dính tốt. Vỏ ngoài màu vàng nổi bật, chịu nhiệt tốt, không biến màu theo thời gian.
Vung nồi: Được làm từ kính cường lực chịu nhiệt dày 5mm, bề mặt kính trong suốt thuận tiện cho việc đun nấu, cũng như quan sát thực phẩm mà không cần mở vùng nhiều lần. Viền bo bằng inox giúp vung nồi kín khít, hạn chế nứt vỡ nếu bị va chạm.
Quai núm: Núm nhựa bắt vít, chống nóng tốt. Quai đinh tán, bọc nhựa cách nhiệt giúp cho người dùng dễ dàng nhấc nồi lên ngay cả  khi đang được đun nóng, thuận tiện hơn trong việc đun nấu.
Công năng tuyệt vời, giúp việc nấu ăn trở nên đơn giản, nhanh gọn hơn
Độ bền cứng cao: Bộ nồi Anod có độ bền cứng rất cao và khả năng chống mài mòn tối ưu, hạn chế trầy xước. Sản phẩm có thể dùng cho nhiều mục đích chế biến và không bị biến dạng nếu gặp tác động lực.
Nấu ăn nhanh hơn, tiết kiệm nhiên liệu: Đáy nồi phẳng rộng, hấp thụ nhiệt tốt, truyền nhiệt đều, nấu chín thức ăn nhanh hơn các loại nồi thông thường.
An toàn cho sức khỏe
Nồi Anod đã được xử lý oxy hóa nên tuyệt đối không có tình trạng thôi nhiễm vào thức ăn, an toàn cho sức khỏe. Nồi còn giúp giữ được hương vị tươi ngon của thức ăn trong thời gian tương đối.
Đa dạng kích cỡ, phù hợp nhiều mục đích sử dụng
Bộ gồm 3 nồi Anod với những kích cỡ phổ biến 16cm – 20cm – 24cm, đáp ứng nhiều mục đích sử dụng khác nhau trong gia đình (nồi nhỏ 16cm thích hợp để luộc trứng, kho thịt, nồi cỡ trung 20cm để nấu canh cho 3-4 người và nồi lớn 24cm có thể luộc gà, nấu canh hoặc lẩu cho 3-5 người).
Sử dụng được trên nhiều loại bếp
Nồi dùng được trên bếp gas, bếp hồng ngoại, không dùng trên bếp từ.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
56449571	KỆ GỖ GÓC TƯỜNG ĐA NĂNG, KỆ TRANG TRÍ 4 TẦNG CAO 1.2M GỖ CAO SU TỰ NHIÊN 	179000	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng khách/Kệ trang trí	OEM	Trung Quốc	Trung Quốc	1958192504389	"Kích thước: 120x50x25cm
Làm bằng gỗ cao su tự nhiên đã qua xử lý chống cong vênh, chống mối mọt, bên ngoài được bảo vệ bởi một lớp PU chống thấm và phủ 2K chống trầy đảm bảo độ bền cho sản phẩm.
Thiết kế đơn giản và tiện lợi, bạn không cần phải khoan hay đục tường, tận dụng tốt các không gian góc tường thường được bỏ trống. Với chiều cao 1.2m được chia đều làm 4 tầng bạn sẽ tha hồ để mọi đồ vật từ vật dụng, sách vở cho đến đồ trang trí
Kệ sách có khả năng chống thấm nước.
Thiết kế thông minh, tinh tế và sang trọngThiết kế thông minh, tinh tế và tiện dụng
+ Kệ  cao cấp được thiết kế thông minh với kích cỡ vừa phải có thể tháo lắp dễ dàng, có thể đặt khắp nơi trong nhà, đặc biệt là những không gian nhà cần tiết kiệm diện tích. Thiết kế kệ sách tinh tế giống như vật dụng trang trí trong nhà với màu sắc nổi bật sẽ giúp mọi người cảm thấy vui vẻ và thoải mái hơn.
+ Tất cả các góc cạnh của kệ  đều được bo tròn để an toàn cho người sử dụng. Sản phẩm được trau chuốt về góc cạnh, các ngăn kệ, nan vách làm từ gỗ nguyên tấm, được cắt CNC chính xác, tỉ mỉ và tinh tế – giúp an toàn cho trẻ nhỏ.
+ Kệ sách thiết kế phù hợp với nhiều phong cách nội thất. Kiểu dáng sang trọng, đẹp mắt, với thiết kế 5 tầng tiện dụng, ngoài chức năng làm kệ để sách, sản phẩm còn rất lý tưởng để làm kệ trang trí, trưng bày những vật dụng như gấu bông, lọ hoa, khay, khung tranh, ảnh, hàng mỹ nghệ…. Thiết kế trang nhã, hiện đại và cũng đầy cảm hứng, sẽ góp phần tô điểm cho không gian sống thêm sang trọng, hiện đại.




+ Kệ được làm từ chất liệu gỗ Cao Su lâu năm bền bỉ và cứng cáp, Toàn bộ sản phẩm được gia công tỉ mỉ, sơn lót nhiều lớp trước khi phủ PU đảm bảo bề mặt nhẵn mịn tối ưu, đồng thời có khả năng chống thấm và chống trầy xước một cách hiệu quả
+ Sản phẩm không chỉ đẹp hơn về mỹ quan mà còn mang lại độ bền chắc lâu dài. Đã qua xử lý chống cong vênh, mối mọt bằng công nghệ của Đức, Sản phẩm thân thiện và an toàn cho sức khỏe gia đình và môi trường.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ..."
